TIMESTAMP,主爐爐底1,主爐爐底2,主爐爐底3,CHART_PARA_INDEX
"501","1","主爐爐底1","1324.099975586","℃","2016/12/2 上午 09:43:00","2016/12/2 上午 09:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1324.099975586","℃","2016/12/2 上午 10:03:00","2016/12/2 上午 10:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1324.800048828","℃","2016/12/2 上午 10:13:00","2016/12/2 上午 10:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1325.000000000","℃","2016/12/2 上午 10:16:00","2016/12/2 上午 10:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1325.000000000","℃","2016/12/2 上午 10:30:00","2016/12/2 上午 10:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1325.000000000","℃","2016/12/2 上午 10:36:00","2016/12/2 上午 10:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1325.000000000","℃","2016/12/2 上午 10:53:00","2016/12/2 上午 10:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1325.699951172","℃","2016/12/2 上午 11:02:00","2016/12/2 上午 11:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1326.000000000","℃","2016/12/2 上午 11:08:00","2016/12/2 上午 11:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1326.000000000","℃","2016/12/2 上午 11:19:00","2016/12/2 上午 11:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1326.000000000","℃","2016/12/2 上午 11:33:00","2016/12/2 上午 11:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1326.000000000","℃","2016/12/2 上午 11:42:00","2016/12/2 上午 11:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1325.500000000","℃","2016/12/2 上午 11:51:00","2016/12/2 上午 11:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
